season
90
78
74
72
66
68
80
65
77
79
81
68
71
79
84
71
75
73
84
62
83
76
77
81
70
81
72
73
68
68
66
76
82
73
74
72
66
74
79
67
78
74
68
91
75
72
78
71
82
72
77
71
67
75
74
82
70
78
65
69
82
76
79
83
70
79
79
78
79
73
93
73
73
73
69
71
79
78
68
74
71
80
77
67
68
79
75
68
73
82
73
68
68
77
75
81
76
78
72
72
84
86
74
74
64
75
76
79
81
78
81
72
80
65
66
77
70
66
78
73
66
76
71
74
77
86
69
64
83
69
78
75
82
75
66
73
88
76
72
69
74
70
71
78
67
77
81
69
81
77
76
59
82
76
69
70
75
83
79
74
92
79
72
77
79
66
73
79
79
74
81
81
79
77
80
75
64
67
65
71
74
72
67
73
86
84
70
81
75
83
79
90
65
69
71
74
74
72
74
73
61
73
82
73
75
82
78
75
72
78
73
65
69
74
76
71
76
71
73
72
78
79
81
81
60
77
78
81
87
75
82
77
81
66
91
74
95
66
77
79
79
80
74
74
82
74
82
80
74
79
