season
72
77
66
77
71
72
71
80
76
80
68
65
78
66
66
74
71
80
87
75
71
70
70
81
68
72
83
76
78
78
63
72
72
74
72
77
66
74
67
78
78
63
73
74
69
74
73
70
73
69
72
68
71
79
81
77
78
70
68
71
74
76
76
72
77
70
69
80
68
72
72
76
76
74
59
74
72
71
70
71
78
77
63
83
65
79
66
64
79
61
70
65
70
71
78
62
69
66
76
89
67
54
61
64
57
72
84
72
84
72
75
73
69
68
57
84
62
78
68
74
68
68
69
81
76
72
73
71
69
68
62
63
58
69
61
63
70
83
82
74
71
67
79
70
65
67
83
69
66
76
58
73
67
65
69
80
63
66
80
69
74
74
68
66
79
66
75
62
73
62
72
82
80
66
67
76
78
77
71
76
74
66
71
72
76
77
72
72
72
68
72
73
71
82
68
62
86
74
79
71
69
71
58
79
67
63
71
66
62
68
69
57
71
72
72
74
75
72
58
58
80
86
65
65
78
58
63
77
82
69
74
64
69
71
74
69
67
74
79
79
70
64
60
75
74
75
72
70
68
65
